  x d=-0.01  y d=-0.01  x d=-0.03  y d=-0.03  x d=-0.06  y d=-0.06  x d=-0.09  y d=-0.09  x d=-0.12  y d=-0.12  x d=-0.15  y d=-0.15  x d=-0.18  y d=-0.18
  
  -0.74564   -1.28510   -0.75516   -1.26752   -0.76945   -1.24114   -0.78374   -1.21476   -0.79803   -1.18838   -0.81231   -1.16200   -0.82660   -1.13562
  -0.74000   -1.28205   -0.74931   -1.26435   -0.76326   -1.23779   -0.77722   -1.21123   -0.79117   -1.18468   -0.80512   -1.15812   -0.81908   -1.13156
  -0.73433   -1.27907   -0.74341   -1.26125   -0.75703   -1.23452   -0.77065   -1.20779   -0.78427   -1.18106   -0.79789   -1.15433   -0.81151   -1.12760
  -0.72862   -1.27616   -0.73747   -1.25823   -0.75076   -1.23133   -0.76404   -1.20443   -0.77732   -1.17753   -0.79061   -1.15063   -0.80389   -1.12373
  -0.72287   -1.27333   -0.73150   -1.25528   -0.74445   -1.22822   -0.75739   -1.20116   -0.77033   -1.17409   -0.78328   -1.14703   -0.79622   -1.11996
  -0.71709   -1.27056   -0.72549   -1.25241   -0.73809   -1.22519   -0.75070   -1.19796   -0.76330   -1.17074   -0.77590   -1.14351   -0.78851   -1.11629
  -0.71127   -1.26787   -0.71945   -1.24962   -0.73171   -1.22224   -0.74397   -1.19486   -0.75623   -1.16747   -0.76849   -1.14009   -0.78074   -1.11271
  -0.70542   -1.26525   -0.71337   -1.24690   -0.72528   -1.21936   -0.73720   -1.19183   -0.74911   -1.16430   -0.76103   -1.13677   -0.77294   -1.10923
  -0.69954   -1.26271   -0.70725   -1.24425   -0.71882   -1.21657   -0.73039   -1.18889   -0.74196   -1.16121   -0.75352   -1.13353   -0.76509   -1.10585
  -0.69363   -1.26024   -0.70111   -1.24169   -0.71233   -1.21387   -0.72355   -1.18604   -0.73476   -1.15822   -0.74598   -1.13040   -0.75720   -1.10257
  -0.68769   -1.25784   -0.69493   -1.23920   -0.70580   -1.21124   -0.71667   -1.18328   -0.72754   -1.15531   -0.73840   -1.12735   -0.74927   -1.09939
  -0.68171   -1.25552   -0.68872   -1.23679   -0.69924   -1.20869   -0.70975   -1.18060   -0.72027   -1.15250   -0.73079   -1.12440   -0.74130   -1.09631
  -0.67571   -1.25328   -0.68248   -1.23446   -0.69265   -1.20623   -0.70281   -1.17800   -0.71297   -1.14978   -0.72313   -1.12155   -0.73329   -1.09333
  -0.66968   -1.25110   -0.67622   -1.23220   -0.68602   -1.20385   -0.69583   -1.17550   -0.70564   -1.14715   -0.71544   -1.11880   -0.72525   -1.09044
  -0.66362   -1.24901   -0.66992   -1.23003   -0.67937   -1.20156   -0.68882   -1.17308   -0.69827   -1.14461   -0.70772   -1.11614   -0.71717   -1.08766
  -0.65754   -1.24699   -0.66360   -1.22793   -0.67269   -1.19934   -0.68178   -1.17075   -0.69087   -1.14217   -0.69996   -1.11358   -0.70905   -1.08499
  -0.65143   -1.24505   -0.65725   -1.22592   -0.66598   -1.19722   -0.67471   -1.16851   -0.68345   -1.13981   -0.69218   -1.11111   -0.70091   -1.08241
  -0.64530   -1.24319   -0.65088   -1.22398   -0.65925   -1.19517   -0.66762   -1.16636   -0.67599   -1.13755   -0.68436   -1.10875   -0.69273   -1.07994
  -0.63914   -1.24140   -0.64448   -1.22213   -0.65249   -1.19321   -0.66050   -1.16430   -0.66850   -1.13539   -0.67651   -1.10648   -0.68452   -1.07757
  -0.63297   -1.23969   -0.63806   -1.22035   -0.64571   -1.19134   -0.65335   -1.16233   -0.66099   -1.13332   -0.66864   -1.10431   -0.67628   -1.07530
  -0.62677   -1.23806   -0.63162   -1.21866   -0.63890   -1.18955   -0.64618   -1.16045   -0.65346   -1.13134   -0.66073   -1.10224   -0.66801   -1.07314
  -0.62055   -1.23650   -0.62516   -1.21704   -0.63207   -1.18785   -0.63898   -1.15866   -0.64590   -1.12946   -0.65281   -1.10027   -0.65972   -1.07108
  -0.61432   -1.23503   -0.61868   -1.21551   -0.62522   -1.18623   -0.63177   -1.15695   -0.63831   -1.12768   -0.64486   -1.09840   -0.65140   -1.06912
  -0.60806   -1.23363   -0.61218   -1.21406   -0.61836   -1.18470   -0.62453   -1.15534   -0.63071   -1.12599   -0.63688   -1.09663   -0.64306   -1.06727
  -0.60179   -1.23231   -0.60566   -1.21269   -0.61147   -1.18326   -0.61727   -1.15383   -0.62308   -1.12439   -0.62889   -1.09496   -0.63469   -1.06553
  -0.59550   -1.23107   -0.59913   -1.21140   -0.60456   -1.18190   -0.61000   -1.15240   -0.61544   -1.12289   -0.62087   -1.09339   -0.62631   -1.06389
  -0.58920   -1.22991   -0.59258   -1.21020   -0.59764   -1.18063   -0.60271   -1.15106   -0.60777   -1.12149   -0.61284   -1.09192   -0.61790   -1.06235
  -0.58288   -1.22883   -0.58601   -1.20908   -0.59070   -1.17945   -0.59540   -1.14982   -0.60009   -1.12019   -0.60478   -1.09055   -0.60948   -1.06092
  -0.57655   -1.22783   -0.57943   -1.20804   -0.58375   -1.17835   -0.58807   -1.14866   -0.59239   -1.11898   -0.59671   -1.08929   -0.60103   -1.05960
  -0.57021   -1.22691   -0.57284   -1.20708   -0.57679   -1.17734   -0.58074   -1.14760   -0.58468   -1.11786   -0.58863   -1.08812   -0.59258   -1.05838
  -0.56386   -1.22606   -0.56624   -1.20621   -0.56981   -1.17642   -0.57339   -1.14663   -0.57696   -1.11685   -0.58053   -1.08706   -0.58410   -1.05727
  -0.55749   -1.22530   -0.55963   -1.20542   -0.56282   -1.17559   -0.56602   -1.14576   -0.56922   -1.11593   -0.57242   -1.08610   -0.57562   -1.05627
  -0.55112   -1.22462   -0.55300   -1.20471   -0.55583   -1.17484   -0.55865   -1.14497   -0.56147   -1.11511   -0.56430   -1.08524   -0.56712   -1.05537
  -0.54474   -1.22402   -0.54637   -1.20408   -0.54882   -1.17418   -0.55127   -1.14428   -0.55372   -1.11438   -0.55616   -1.08448   -0.55861   -1.05458
  -0.53835   -1.22350   -0.53974   -1.20354   -0.54181   -1.17361   -0.54388   -1.14369   -0.54595   -1.11376   -0.54802   -1.08383   -0.55009   -1.05390
  -0.53196   -1.22305   -0.53309   -1.20309   -0.53479   -1.17313   -0.53648   -1.14318   -0.53818   -1.11323   -0.53987   -1.08328   -0.54157   -1.05333
  -0.52556   -1.22269   -0.52644   -1.20271   -0.52776   -1.17274   -0.52908   -1.14277   -0.53040   -1.11280   -0.53172   -1.08283   -0.53304   -1.05286
  -0.51916   -1.22241   -0.51979   -1.20242   -0.52073   -1.17244   -0.52167   -1.14245   -0.52261   -1.11247   -0.52356   -1.08248   -0.52450   -1.05249
  -0.51275   -1.22221   -0.51313   -1.20221   -0.51370   -1.17222   -0.51426   -1.14222   -0.51483   -1.11223   -0.51539   -1.08224   -0.51596   -1.05224
  -0.50635   -1.22209   -0.50647   -1.20209   -0.50666   -1.17209   -0.50685   -1.14209   -0.50704   -1.11209   -0.50723   -1.08209   -0.50741   -1.05209
  -0.49994   -1.22205   -0.49981   -1.20205   -0.49962   -1.17205   -0.49943   -1.14205   -0.49925   -1.11205   -0.49906   -1.08205   -0.49887   -1.05205
  -0.49353   -1.22209   -0.49315   -1.20210   -0.49259   -1.17210   -0.49202   -1.14211   -0.49146   -1.11211   -0.49089   -1.08212   -0.49032   -1.05212
  -0.48712   -1.22221   -0.48649   -1.20222   -0.48555   -1.17224   -0.48461   -1.14225   -0.48367   -1.11227   -0.48272   -1.08228   -0.48178   -1.05230
  -0.48072   -1.22242   -0.47984   -1.20244   -0.47852   -1.17246   -0.47720   -1.14249   -0.47588   -1.11252   -0.47456   -1.08255   -0.47324   -1.05258
  -0.47431   -1.22270   -0.47318   -1.20273   -0.47149   -1.17278   -0.46979   -1.14283   -0.46810   -1.11287   -0.46640   -1.08292   -0.46470   -1.05297
  -0.46791   -1.22306   -0.46653   -1.20311   -0.46446   -1.17318   -0.46239   -1.14325   -0.46032   -1.11332   -0.45825   -1.08340   -0.45617   -1.05347
  -0.46152   -1.22350   -0.45989   -1.20357   -0.45744   -1.17367   -0.45499   -1.14377   -0.45255   -1.11387   -0.45010   -1.08397   -0.44765   -1.05407
  -0.45513   -1.22403   -0.45325   -1.20412   -0.45043   -1.17425   -0.44760   -1.14438   -0.44478   -1.11452   -0.44196   -1.08465   -0.43913   -1.05478
  -0.44875   -1.22463   -0.44662   -1.20475   -0.44342   -1.17492   -0.44022   -1.14509   -0.43703   -1.11526   -0.43383   -1.08543   -0.43063   -1.05560
  -0.44238   -1.22532   -0.44000   -1.20546   -0.43643   -1.17567   -0.43285   -1.14589   -0.42928   -1.11610   -0.42571   -1.08631   -0.42213   -1.05653
  -0.43602   -1.22608   -0.43339   -1.20625   -0.42944   -1.17651   -0.42549   -1.14678   -0.42155   -1.11704   -0.41760   -1.08730   -0.41365   -1.05756
  -0.42966   -1.22692   -0.42678   -1.20713   -0.42246   -1.17745   -0.41814   -1.14776   -0.41382   -1.11807   -0.40950   -1.08838   -0.40518   -1.05870
  -0.42332   -1.22785   -0.42019   -1.20809   -0.41550   -1.17846   -0.41081   -1.14883   -0.40612   -1.11920   -0.40142   -1.08957   -0.39673   -1.05994
  -0.41699   -1.22885   -0.41362   -1.20914   -0.40855   -1.17957   -0.40349   -1.15000   -0.39842   -1.12043   -0.39336   -1.09086   -0.38829   -1.06129
  -0.41068   -1.22993   -0.40705   -1.21027   -0.40162   -1.18076   -0.39618   -1.15126   -0.39074   -1.12176   -0.38531   -1.09225   -0.37987   -1.06275
  -0.40437   -1.23110   -0.40050   -1.21147   -0.39470   -1.18204   -0.38889   -1.15261   -0.38308   -1.12318   -0.37728   -1.09374   -0.37147   -1.06431
  -0.39809   -1.23234   -0.39397   -1.21277   -0.38779   -1.18341   -0.38162   -1.15405   -0.37544   -1.12469   -0.36927   -1.09534   -0.36309   -1.06598
  -0.39182   -1.23366   -0.38745   -1.21414   -0.38091   -1.18486   -0.37436   -1.15558   -0.36782   -1.12631   -0.36127   -1.09703   -0.35473   -1.06775
  -0.38556   -1.23506   -0.38095   -1.21559   -0.37404   -1.18640   -0.36713   -1.15721   -0.36022   -1.12802   -0.35331   -1.09882   -0.34639   -1.06963
  -0.37932   -1.23653   -0.37447   -1.21713   -0.36719   -1.18803   -0.35992   -1.15892   -0.35264   -1.12982   -0.34536   -1.10072   -0.33808   -1.07161
  -0.37311   -1.23809   -0.36801   -1.21875   -0.36037   -1.18974   -0.35273   -1.16073   -0.34508   -1.13172   -0.33744   -1.10271   -0.32980   -1.07370
  -0.36691   -1.23972   -0.36157   -1.22045   -0.35357   -1.19154   -0.34556   -1.16262   -0.33755   -1.13371   -0.32954   -1.10480   -0.32154   -1.07589
  -0.36073   -1.24143   -0.35515   -1.22223   -0.34678   -1.19342   -0.33841   -1.16461   -0.33005   -1.13580   -0.32168   -1.10699   -0.31331   -1.07818
  -0.35458   -1.24322   -0.34876   -1.22409   -0.34003   -1.19539   -0.33130   -1.16669   -0.32257   -1.13798   -0.31383   -1.10928   -0.30510   -1.08058
  -0.34845   -1.24509   -0.34239   -1.22603   -0.33330   -1.19744   -0.32421   -1.16885   -0.31511   -1.14026   -0.30602   -1.11167   -0.29693   -1.08308
  -0.34234   -1.24703   -0.33604   -1.22805   -0.32659   -1.19958   -0.31714   -1.17110   -0.30769   -1.14263   -0.29824   -1.11416   -0.28879   -1.08569
  -0.33626   -1.24905   -0.32972   -1.23015   -0.31991   -1.20180   -0.31011   -1.17345   -0.30030   -1.14509   -0.29049   -1.11674   -0.28069   -1.08839
  -0.33020   -1.25115   -0.32343   -1.23233   -0.31327   -1.20410   -0.30310   -1.17588   -0.29294   -1.14765   -0.28278   -1.11942   -0.27262   -1.09120
  -0.32417   -1.25332   -0.31716   -1.23459   -0.30665   -1.20649   -0.29613   -1.17839   -0.28561   -1.15030   -0.27510   -1.12220   -0.26458   -1.09410
  -0.31817   -1.25557   -0.31093   -1.23692   -0.30006   -1.20896   -0.28919   -1.18100   -0.27832   -1.15304   -0.26745   -1.12508   -0.25658   -1.09711
  -0.31220   -1.25789   -0.30472   -1.23934   -0.29350   -1.21152   -0.28228   -1.18369   -0.27106   -1.15587   -0.25984   -1.12805   -0.24863   -1.10022
  -0.30625   -1.26029   -0.29854   -1.24183   -0.28698   -1.21415   -0.27541   -1.18647   -0.26384   -1.15879   -0.25227   -1.13111   -0.24071   -1.10343
  -0.30034   -1.26276   -0.29240   -1.24440   -0.28048   -1.21687   -0.26857   -1.18934   -0.25666   -1.16180   -0.24474   -1.13427   -0.23283   -1.10674
  -0.29446   -1.26530   -0.28629   -1.24705   -0.27403   -1.21967   -0.26177   -1.19229   -0.24951   -1.16491   -0.23725   -1.13753   -0.22499   -1.11015
  -0.28861   -1.26792   -0.28021   -1.24977   -0.26761   -1.22255   -0.25500   -1.19532   -0.24240   -1.16810   -0.22980   -1.14088   -0.21720   -1.11365
  -0.28280   -1.27062   -0.27417   -1.25257   -0.26122   -1.22551   -0.24828   -1.19845   -0.23534   -1.17138   -0.22239   -1.14432   -0.20945   -1.11725
